cod_art,nom_art,isbn,autor,cod_edito,cod_colecc,cod_tema,precio_1
9789804070624,TATUAJES CRIMINALES RUSOS,9789804070624,FEDOSY SANTAELLA,133,001,206,6.0
9789804070648,EL BESO DEL ARCANGEL,9789804070648,ANA MARIA HURTADO Y LEONARDO TORRES,133,001,206,6.0
9789804070655,PARTIR,9789804070655,ALEJANDRO SEBASTIANI VERLEZZA,133,001,206,6.0
9789804070662,EL PASTEL DE CHUCHO SABOR DE UNA TRADICION,9789804070662,RUBEN SANTIAGO VERNI SALAZAR,133,001,105,38.0
9789804070723,SOL DE LA CEGUERA,9789804070723,KIRA KARIAKIN,133,001,206,20.0
9789804070778,TRAZOS DE FUGA,9789804070778,FLAVIA PESCI FELTRI,133,001,206,20.0
9789804070808,NADA NOS PERTENECE,9789804070808,SAMUEL ROTTER BECHAR,133,001,172,20.0
9789804070822,EL ARTE DENTRO DEL MARCO,9789804070822,VICTOR GUEDEZ,133,001,071,30.0
9789804070860,ASI VA EL SIGLO,9789804070860,INES MUÑOZ AGUIRRE,133,001,204,20.0
9789804070877,SALOMARIO POESIA REUNIDA 1956 2021,9789804070877,ALFREDO CHACON,133,001,206,30.0
9789804070884,AGUA QUE CORRE LENTA,9789804070884,COROMOTO RENAUD,133,001,207,20.0
9789804070907,VENEZUELA SEFARDI,9789804070907,JOSE CHOCRON COHEN,133,001,110,25.0
9789804120053,EL CAMINO DEL PUMA EL REGRESO DE LOS HIJOS DE LA TIERRA,9789804120053,ALEJANDRO CORCHS,059,001,278,4.0
9789804120077,ALFONZO CHICO CARRASQUEL CON LA V EN EL PECHO,9789804120077,MILAGROS SOCORRO,059,001,250,8.0
9789804120190,Y NOS COMIMOS LA LUZ,9789804120190,MARIA ISOLIETT IGLESIAS,059,001,052,3.0
9789804120282,LA DAMA OSCURA,9789804120282,SONIA CHOCRON,059,001,184,2.0
9789804120299,JULIAN,9789804120299,EDUARDO SANCHEZ RUGELES,022,001,136,10.0
9789804120312,A LOS VECINOS NI CON EL PETALO DE UNA ROSA,9789804120312,INES MUÑOZ AGUIRRE,059,001,184,12.0
9789804120350,PROBLEMAS ACTUALES Y EL NARCISISMO EN INTERNET,9789804120350,VA,059,001,172,3.0
9789804120367,LAS AVENTURAS DE LUDOVICO MICO Y BENJAMIN MANDRIL,9789804120367,ANE RODRIGUEZ,059,001,131,5.0
9789804120374,IDENTIDAD COMPARTIDA,9789804120374,RAFAEL BARALT LOVERA,059,001,184,3.0
9789804120381,TATUAJE DE LAGRIMAS,9789804120381,MARIA ELENA LAVAUD,059,001,187,3.0
9789804120398,REPORTERO EN RESISTENCIA,9789804120398,ELIZABETH VALARINO HERNANDEZ,059,001,184,3.0
9789804120411,EL NIÑO QUE VUELA SOBRE COMETAS,9789804120411,ANE RODRIGUEZ,022,001,131,5.0
9789804120459,TRANSILVANIA UNPLUGGED,9789804120459,EDUARDO SANCHEZ RUGELES,001,001,152,5.0
9789804120466,A LA HORA JUSTA,9789804120466,PADRON WILLIAM,059,001,184,5.0
9789804120473,EXPEDIENTES,9789804120473,JUAN TORO DIEZ,059,001,104,10.0
9789804120480,PAIS DE SALIDA,9789804120480,CESAR MIGUEL RONDON,059,001,211,3.0
9789804120497,PADRES ESTO ES UN 911,9789804120497,MARIA DE LOS ANGELES RONDON,059,001,070,3.0
9789804120503,MUERTE EN EL GUAIRE,9789804120503,RAQUEL RIVAS ROJAS,059,001,184,3.0
9789804120510,WOLF,9789804120510,EMMANUEL RINCON,059,001,192,2.0
9789804120527,ORGANIZA TU CLOSET MENTAL Y VIVE MEJOR,9789804120527,CAROLINA GONZALEZ ARIAS,059,001,014,4.0
9789804120534,ATRAPADAS . LA BATALLA DE DOS MUNDOS,9789804120534,MARIA ISOLIETT IGLESIAS,059,001,016,20.0
9789804120541,UNA IDEA MUY OBSCENA,9789804120541,GERARDO GUARACHE OCQUE,059,001,184,5.0
9789804120558,SALVAR A LOS ELEFANTES,9789804120558,LUIS ENRIQUE BELMONTE,059,001,110,4.0
9789804120589,SI YO FUERA PEDRO INFANTE,9789804120589,EDUARDO LIENDO,031,001,139,4.0
9789804120596,EL PODER DE TU MENTE,9789804120596,PEDRO PENZINI LOPEZ,059,001,255,6.0
9789804120626,SANAR ES UNA ELECCION,9789804120626,GLENDA TRAVIESO,059,001,014,2.0
9789804120671,HISTORIAS EN LA CIUDAD,9789804120671,RAFAEL ARRAIZ LUCCA,223,001,001,10.0
9789804120688,EL HIPISMO EN VENEZUELA,9789804120688,RAFAEL ARRAIZ LUCCA,059,001,109,18.0
9789804120718,ANDREA EN EL CIELO DE DIAMANTES,9789804120718,FELIX ALLUEVA,059,001,014,3.0
9789804120725,LAS LETRAS PEQUEÑAS DE LA VIDA,9789804120725,EDUARDO RODRIGUEZ GIOLITTI,059,001,201,3.0
9789804120732,RAFAEL CALDERA ESTADISTA Y PACIFICADOR,9789804120732,RAFAEL ARRAIZ LUCCA,059,001,018,6.0
9789804120749,EL EXILIO DEL TIEMPO,9789804120749,ANA TERESA TORRES,031,001,165,12.0
9789804120756,HIJOS ADULTOS QUE TAN CERCA QUE TAN LEJOS,9789804120756,GHISLAINE DEMOMBYNES LUCIA LINARES,059,001,014,3.0
9789804120763,LOS HEROES DEL ABUELO,9789804120763,MARI MONTES,022,001,110,3.0
9789804120794,EN TORNO AL OFICIO DE ESCRITOR,9789804120794,EDUARDO LIENDO,031,001,045,12.0
9789804160554,LA RECLAMACION DE VENEZUELA SOBRE EL TERRITORIO ESEQUIBO SERIE ESTUDIO 139,9789804160554,RAFAEL BADELL MADRID,328,001,110,50.0
9789804250026,ADIOS MISS VENEZUELA,9789804250026,FRANCISCO SUNIAGA,288,001,172,25.0
9789804250071,LOS BRUJOS DE CHAVEZ,9789804250071,DAVID PLACER,049,001,260,15.0
9789804250088,ADIOS MISS VENEZUELA,9789804250088,FRANCISCO SUNIAGA,049,001,172,15.0
9789804250149,AMAR MAS ALLA DE LA VIDA,9789804250149,ELIZABETH BARALT,049,001,263,5.0
9789804250156,EL PASAJERO DE TRUMAN,9789804250156,FRANCISCO SUNIAGA,049,001,172,15.0
9789804250170,NO ES CUENTO ES HISTORIA,9789804250170,INES QUINTERO,049,001,265,20.0
9789804250217,PERMITANME CONTARLES,9789804250217,PAULINA GAMUS,049,001,071,15.0
9789804250224,SE AGRADECE LA RISA,9789804250224,PAULINA GAMUS,049,001,071,15.0
9789804250248,26 CRIMENES Y UNA CRONICA,9789804250248,CARLETH MORALES SENGES,049,001,260,5.0
9789804250330,LA ODISEA DE UN AVENTURERO,9789804250330,ROBERT BRANDT,049,001,260,15.0
9789804250347,DESOBEDIENCIA CIVIL,9789804250347,HENRY DAVID THOREAU,049,001,262,5.0
9789804250392,LO QUE NO SE APRENDE EN LOS PUPITRES,9789804250392,FERMIN MARMOL GARCIA MARIO MARMOL GARCIA,049,001,082,5.0
9789804250408,94 PARADOJAS PARA PENSAR EL SIGLO XXI,9789804250408,LEOPOLDO MARTINEZ NUCETE,049,001,082,25.0
9789804250422,LA CASA DE LA SANGRE INSATISFECHA,9789804250422,WALTER CASTRO SALERNO,049,001,172,20.0
9789804250460,DICEN QUE ESTAN MATANDO GENTE EN VENEZUELA,9789804250460,VERONICA ZUBILLAGA MANUEL LLORENS,049,001,260,20.0
9789804250477,REVOLUCION DE LA MUERTE,9789804250477,LUIS IZQUIEL BERMUDEZ FERMIN MARMOL GARCIA,049,001,260,15.0
9789804250507,NOTAS DE ECONOMIA PARA PRINCIPIANTES,9789804250507,JOSE GUERRA,049,001,261,5.0
9789804250538,AUTOCRACIAS DEL SIGLO XXI CASO VENEZUELA,9789804250538,PAOLA BAUTISTA DE ALEMAN,049,001,071,25.0
9789804250583,NO ES CUENTO ES HISTORIA VOL II,9789804250583,INES QUINTERO,049,001,265,20.0
9789804250590,ESTADO DELINCUENTE,9789804250590,CARLOS TABLANTE MARCOS TARRE,049,001,260,5.0
9789804250606,AFIUNI LA PRESA DEL COMANDANTE,9789804250606,FRANCISCO OLIVARES,049,001,260,5.0
9789804250613,FIDEL CASTRO EL ULTIMO REY CATOLICO,9789804250613,LORIS ZANATTA,049,001,071,25.0
